epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.32448,1.66876,3.03922,1.76523,0.00572,1,0.58894,0.29164,1.56697,3.27122,1.75891,0,0,0
2,6.48885,1.71578,3.2271,1.96371,0.00571,1,0.62569,0.30659,1.54468,3.28296,1.72964,1.63399e-05,1.63399e-05,1.63399e-05
3,9.58368,1.52367,2.95498,1.69313,0.00571,1,0.69055,0.35821,1.4709,3.2888,1.68395,3.20197e-05,3.20197e-05,3.20197e-05
4,12.7166,1.46621,2.9493,1.63154,0.00571,1,0.75639,0.4051,1.3686,3.28208,1.61047,4.70394e-05,4.70394e-05,4.70394e-05
5,15.7803,1.34125,2.79808,1.48423,0.00564,1,0.77169,0.45292,1.26757,3.23162,1.52405,6.13989e-05,6.13989e-05,6.13989e-05
6,18.8919,1.17017,2.79033,1.48582,0.00554,1,0.76679,0.49372,1.14488,3.14939,1.41582,7.50984e-05,7.50984e-05,7.50984e-05
7,22.0103,1.05117,2.68659,1.34757,0.0054,1,0.78173,0.51567,1.0265,3.08017,1.30667,8.81376e-05,8.81376e-05,8.81376e-05
8,25.0934,1.17369,2.59978,1.33802,0.00526,1,0.81031,0.56209,0.96252,3.04894,1.2817,0.000100517,0.000100517,0.000100517
9,28.2248,1.07448,2.45743,1.34674,0.00514,1,0.8645,0.63062,0.91496,3.00986,1.25749,0.000112236,0.000112236,0.000112236
10,31.4903,0.99635,2.40427,1.25213,0.00509,1,0.87731,0.64371,0.8746,2.97011,1.24656,0.000123295,0.000123295,0.000123295
11,34.8916,0.97807,2.03245,1.1962,0.00508,1,0.87868,0.66871,0.81961,2.8904,1.19191,0.000133693,0.000133693,0.000133693
12,38.2134,0.96083,1.95565,1.17426,0.00509,1,0.90311,0.72099,0.76384,2.80027,1.13336,0.000143432,0.000143432,0.000143432
13,41.4102,1.04897,1.85834,1.24962,0.00512,1,0.93411,0.76015,0.76,2.6946,1.14913,0.00015251,0.00015251,0.00015251
14,44.6139,0.95643,1.81274,1.30205,0.51789,0.96874,0.95655,0.75079,0.79301,2.57871,1.20191,0.000160929,0.000160929,0.000160929
15,47.7304,0.98761,1.65867,1.24893,1,0.44494,0.9775,0.73513,0.89033,2.48308,1.31223,0.000168687,0.000168687,0.000168687
16,50.8538,1.02431,1.67134,1.41222,1,0.45262,0.995,0.73751,0.95014,2.41167,1.35425,0.000175785,0.000175785,0.000175785
17,53.9928,0.95875,1.44696,1.20132,1,0.49484,0.995,0.75097,0.94949,2.33062,1.32429,0.000182223,0.000182223,0.000182223
18,57.0987,0.87327,1.30409,1.13847,1,0.49484,0.995,0.75097,0.94949,2.33062,1.32429,0.000188001,0.000188001,0.000188001
19,60.2127,0.90844,1.36729,1.18435,0.98807,0.5,0.995,0.7371,0.98861,2.28049,1.33865,0.000193119,0.000193119,0.000193119
20,63.4038,0.84631,1.28023,1.17828,0.98807,0.5,0.995,0.7371,0.98861,2.28049,1.33865,0.000197576,0.000197576,0.000197576
21,66.6086,0.97199,1.32372,1.27638,0.99447,0.78427,0.995,0.74428,1.01838,2.28623,1.34036,0.000201374,0.000201374,0.000201374
22,69.7839,0.7997,1.20067,1.1708,0.99447,0.78427,0.995,0.74428,1.01838,2.28623,1.34036,0.000204511,0.000204511,0.000204511
23,72.9909,0.80598,1.09809,1.05813,1,0.82253,0.995,0.72501,0.98523,2.32392,1.28824,0.000206988,0.000206988,0.000206988
24,76.2601,0.86611,1.13185,1.13496,1,0.82253,0.995,0.72501,0.98523,2.32392,1.28824,0.000208805,0.000208805,0.000208805
25,79.4758,0.82784,1.10248,1.0845,1,0.81001,0.995,0.73867,0.87424,2.36412,1.17283,0.000209962,0.000209962,0.000209962
26,82.5939,0.95432,1.17403,1.27299,1,0.81001,0.995,0.73867,0.87424,2.36412,1.17283,0.000210459,0.000210459,0.000210459
27,85.869,0.79258,1.06526,1.14411,1,0.30881,0.995,0.78667,0.80864,2.41163,1.10567,0.000210295,0.000210295,0.000210295
28,89.1373,0.78226,1.0538,1.10983,1,0.30881,0.995,0.78667,0.80864,2.41163,1.10567,0.000209472,0.000209472,0.000209472
